Season,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1959-60,23,C,72,,46.4,14.8,32.1,.461,,,,,,,,8.0,13.8,.582,,,27.0,2.3,,,,2.1,37.6
1960-61,24,C,79,,47.8,15.8,31.1,.509,,,,,,,,6.7,13.3,.504,,,27.2,1.9,,,,1.6,38.4
1961-62,25,C,80,,48.5,20.0,39.5,.506,,,,,,,,10.4,17.0,.613,,,25.7,2.4,,,,1.5,50.4
1962-63,26,C,80,,47.6,18.3,34.6,.528,,,,,,,,8.3,13.9,.593,,,24.3,3.4,,,,1.7,44.8
1963-64,27,C,80,,46.1,15.1,28.7,.524,,,,,,,,6.8,12.7,.531,,,22.3,5.0,,,,2.3,36.9
1964-65,28,C,73,,45.2,14.6,28.5,.510,,,,,,,,5.6,12.1,.464,,,22.9,3.4,,,,2.0,34.7
1964-65,28,C,38,,45.9,16.7,33.6,.499,,,,,,,,5.5,13.2,.416,,,23.5,3.1,,,,2.0,38.9
1964-65,28,C,35,,44.5,12.2,23.1,.528,,,,,,,,5.7,10.9,.526,,,22.3,3.8,,,,2.0,30.1
1965-66,29,C,79,,47.3,13.6,25.2,.540,,,,,,,,6.3,12.4,.513,,,24.6,5.2,,,,2.2,33.5
1966-67,30,C,81,,45.5,9.7,14.2,.683,,,,,,,,4.8,10.8,.441,,,24.2,7.8,,,,1.8,24.1
1967-68,31,C,82,,46.8,10.0,16.8,.595,,,,,,,,4.3,11.4,.380,,,23.8,8.6,,,,2.0,24.3
1968-69,32,C,81,,45.3,7.9,13.6,.583,,,,,,,,4.7,10.6,.446,,,21.1,4.5,,,,1.8,20.5
1969-70,33,C,12,,42.1,10.8,18.9,.568,,,,,,,,5.8,13.1,.446,,,18.4,4.1,,,,2.6,27.3
1970-71,34,C,82,,44.3,8.1,15.0,.545,,,,,,,,4.4,8.2,.538,,,18.2,4.3,,,,2.1,20.7
1971-72,35,C,82,,42.3,6.0,9.3,.649,,,,,,,,2.7,6.4,.422,,,19.2,4.0,,,,2.4,14.8
1972-73,36,C,82,,43.2,5.2,7.1,.727,,,,,,,,2.8,5.5,.510,,,18.6,4.5,,,,2.3,13.2
